"TP","ANO","IDADE","CUSTO_UN","ID","budget"
"PADRON",2027,14,1004287.67,1271,3.45e+09
"PADRON",2027,14,1004287.67,1272,3.45e+09
"PADRON",2027,14,1004287.67,1273,3.45e+09
"PADRON",2027,14,1004287.67,1274,3.45e+09
"PADRON",2027,14,1004287.67,1275,3.45e+09
"PADRON",2027,14,1004287.67,1276,3.45e+09
"PADRON",2027,14,1004287.67,1277,3.45e+09
"PADRON",2027,14,1004287.67,1278,3.45e+09
"PADRON",2027,14,1004287.67,1279,3.45e+09
"PADRON",2027,14,1004287.67,1280,3.45e+09
"PADRON",2027,14,1004287.67,1281,3.45e+09
"PADRON",2027,14,1004287.67,1282,3.45e+09
"PADRON",2027,14,1004287.67,1283,3.45e+09
"PADRON",2027,14,1004287.67,1284,3.45e+09
"PADRON",2027,14,1004287.67,1285,3.45e+09
"PADRON",2027,14,1004287.67,1286,3.45e+09
"PADRON",2027,14,1004287.67,1287,3.45e+09
"PADRON",2027,14,1004287.67,1288,3.45e+09
"PADRON",2027,14,1004287.67,1289,3.45e+09
"PADRON",2027,14,1004287.67,1290,3.45e+09
"PADRON",2027,14,1004287.67,1291,3.45e+09
"PADRON",2027,14,1004287.67,1292,3.45e+09
"PADRON",2027,14,1004287.67,1293,3.45e+09
"PADRON",2027,14,1004287.67,1294,3.45e+09
"PADRON",2027,14,1004287.67,1295,3.45e+09
"PADRON",2027,14,1004287.67,1296,3.45e+09
"PADRON",2027,14,1004287.67,1297,3.45e+09
"PADRON",2027,14,1004287.67,1298,3.45e+09
"PADRON",2027,14,1004287.67,1299,3.45e+09
"PADRON",2027,14,1004287.67,1300,3.45e+09
"PADRON",2027,14,1004287.67,1301,3.45e+09
"PADRON",2027,14,1004287.67,1302,3.45e+09
"PADRON",2027,14,1004287.67,1303,3.45e+09
"PADRON",2027,14,1004287.67,1304,3.45e+09
"PADRON",2027,14,1004287.67,1305,3.45e+09
"PADRON",2027,14,1004287.67,1306,3.45e+09
"PADRON",2027,14,1004287.67,1307,3.45e+09
"PADRON",2027,14,1004287.67,1308,3.45e+09
"PADRON",2027,14,1004287.67,1309,3.45e+09
"PADRON",2027,14,1004287.67,1310,3.45e+09
"PADRON",2027,14,1004287.67,1311,3.45e+09
"PADRON",2027,14,1004287.67,1312,3.45e+09
"PADRON",2027,14,1004287.67,1313,3.45e+09
"PADRON",2027,14,1004287.67,1314,3.45e+09
"PADRON",2027,14,1004287.67,1315,3.45e+09
"PADRON",2027,14,1004287.67,1316,3.45e+09
"PADRON",2027,14,1004287.67,1317,3.45e+09
"PADRON",2027,14,1004287.67,1318,3.45e+09
"PADRON",2027,14,1004287.67,1319,3.45e+09
"PADRON",2027,14,1004287.67,1320,3.45e+09
"PADRON",2027,14,1004287.67,1321,3.45e+09
"PADRON",2027,14,1004287.67,1322,3.45e+09
"PADRON",2027,14,1004287.67,1323,3.45e+09
"PADRON",2027,14,1004287.67,1324,3.45e+09
"PADRON",2027,14,1004287.67,1325,3.45e+09
"PADRON",2027,14,1004287.67,1326,3.45e+09
"PADRON",2027,14,1004287.67,1327,3.45e+09
"PADRON",2027,14,1004287.67,1328,3.45e+09
"PADRON",2027,14,1004287.67,1329,3.45e+09
"PADRON",2027,14,1004287.67,1330,3.45e+09
"PADRON",2027,14,1004287.67,1331,3.45e+09
"PADRON",2027,14,1004287.67,1332,3.45e+09
"PADRON",2027,14,1004287.67,1333,3.45e+09
"PADRON",2027,14,1004287.67,1334,3.45e+09
"PADRON",2027,14,1004287.67,1335,3.45e+09
"PADRON",2027,14,1004287.67,1336,3.45e+09
"PADRON",2027,14,1004287.67,1337,3.45e+09
"PADRON",2027,14,1004287.67,1338,3.45e+09
"PADRON",2027,14,1004287.67,1339,3.45e+09
